Location,Station,Date,Time,Temperature_F,DewPoint_F,Humidity_Percentage,Wind,WindSpeed_mph,WindGust_mph,Pressure_in,Precipitation_in,Condition,Data Collection Source
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,4:53 AM,74 °F,65 °F,73 %,WSW,9 mph,0 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,5:53 AM,74 °F,65 °F,73 %,SW,8 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,6:53 AM,75 °F,65 °F,71 %,WSW,10 mph,0 mph,29.31 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,7:53 AM,79 °F,65 °F,62 %,WSW,12 mph,0 mph,29.31 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,8:53 AM,81 °F,66 °F,60 %,W,9 mph,23 mph,29.31 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,9:53 AM,84 °F,66 °F,55 %,W,13 mph,0 mph,29.32 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,10:53 AM,86 °F,66 °F,51 %,W,13 mph,0 mph,29.32 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,11:53 AM,88 °F,66 °F,48 %,WSW,17 mph,23 mph,29.32 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,12:53 PM,90 °F,66 °F,45 %,WSW,18 mph,25 mph,29.31 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,1:53 PM,90 °F,66 °F,45 %,WSW,18 mph,26 mph,29.31 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,2:53 PM,91 °F,66 °F,43 %,WSW,20 mph,30 mph,29.30 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,3:53 PM,90 °F,66 °F,45 %,W,20 mph,31 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,4:53 PM,90 °F,67 °F,46 %,WSW,18 mph,0 mph,29.29 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,5:53 PM,89 °F,67 °F,48 %,WSW,16 mph,24 mph,29.28 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,6:53 PM,88 °F,68 °F,51 %,WSW,15 mph,24 mph,29.30 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,7:53 PM,86 °F,67 °F,53 %,WSW,14 mph,0 mph,29.30 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,8:53 PM,84 °F,67 °F,56 %,SW,8 mph,0 mph,29.31 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,9:53 PM,83 °F,67 °F,58 %,SW,9 mph,0 mph,29.32 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,10:53 PM,81 °F,68 °F,65 %,SW,12 mph,0 mph,29.33 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/5/21,11:53 PM,80 °F,68 °F,67 %,SW,8 mph,0 mph,29.33 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,12:53 AM,79 °F,67 °F,66 %,SW,9 mph,0 mph,29.34 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,1:53 AM,79 °F,67 °F,66 %,WSW,8 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,2:53 AM,79 °F,66 °F,64 %,WSW,12 mph,0 mph,29.34 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,3:53 AM,78 °F,66 °F,66 %,WSW,9 mph,0 mph,29.35 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,4:53 AM,78 °F,66 °F,66 %,WSW,13 mph,0 mph,29.35 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,5:53 AM,77 °F,66 °F,69 %,WSW,9 mph,0 mph,29.37 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,6:53 AM,77 °F,67 °F,71 %,WSW,13 mph,0 mph,29.37 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,7:53 AM,79 °F,66 °F,64 %,WSW,9 mph,0 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,8:53 AM,82 °F,67 °F,60 %,WSW,12 mph,20 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,9:53 AM,84 °F,67 °F,56 %,WSW,14 mph,21 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,10:53 AM,87 °F,67 °F,51 %,W,12 mph,20 mph,29.36 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,11:53 AM,89 °F,67 °F,48 %,SW,12 mph,20 mph,29.35 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,12:53 PM,90 °F,66 °F,45 %,SW,13 mph,18 mph,29.34 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,1:53 PM,90 °F,65 °F,43 %,WSW,13 mph,22 mph,29.34 in,0.0 in,Fair,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,2:53 PM,91 °F,64 °F,41 %,WSW,13 mph,22 mph,29.32 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,3:53 PM,91 °F,64 °F,41 %,SW,13 mph,21 mph,29.31 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,4:53 PM,90 °F,64 °F,42 %,WSW,17 mph,24 mph,29.29 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,5:53 PM,88 °F,65 °F,46 %,SSW,16 mph,24 mph,29.27 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,6:53 PM,87 °F,66 °F,49 %,WSW,14 mph,0 mph,29.28 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,7:53 PM,84 °F,66 °F,55 %,WSW,10 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,8:53 PM,83 °F,65 °F,54 %,SW,8 mph,0 mph,29.30 in,0.0 in,Partly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,9:53 PM,82 °F,66 °F,58 %,SW,7 mph,0 mph,29.31 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,10:53 PM,81 °F,67 °F,62 %,SW,8 mph,0 mph,29.30 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/6/21,11:53 PM,79 °F,67 °F,66 %,SW,7 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,12:53 AM,78 °F,67 °F,68 %,SSW,9 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,1:53 AM,78 °F,67 °F,68 %,SW,8 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,2:53 AM,77 °F,67 °F,71 %,SSW,8 mph,0 mph,29.29 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,3:53 AM,75 °F,67 °F,76 %,SSW,5 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,4:53 AM,75 °F,66 °F,73 %,SSW,6 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,5:53 AM,75 °F,67 °F,76 %,SSW,7 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,6:53 AM,76 °F,67 °F,74 %,SSW,8 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,7:53 AM,79 °F,67 °F,66 %,SW,8 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,8:53 AM,81 °F,68 °F,65 %,SW,10 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,9:53 AM,85 °F,68 °F,57 %,SW,10 mph,0 mph,29.27 in,0.0 in,Mostly Cloudy,Weather Underground
"Chicago, IL",Chicago Midway International Airport Station,7/7/21,10:53 AM,87 °F,67 °F,51 %,SW,12 mph,20 mph,29.26 in,0.0 in,Mostly Cloudy,Weather Underground
